,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status
88017,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
372195,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
292422,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
237960,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
432610,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating
388416,Facilities & Maintenance,O&M,Leadership & Management,Non-School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
348746,Food Services,O&M,Shared Services,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
80689,Other Non-Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
141108,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating
414520,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
340069,Instructional Materials & Supplies,Instruction,School Reported,School,Poverty,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
208964,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
281100,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
37177,Special Population Program Management & Support,ISPD,School Reported,School,Special Education,Sec/Clerk/Other Admin,Base Salary/Compensation,Non PreK,PreK-12 Operating
10712,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating
328340,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
237584,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
207722,Substitute Compensation,Instruction,School Reported,School,Poverty,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating
191100,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
111805,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
317539,Aides Compensation,Instruction,Shared Services,Non-School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
285428,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
259334,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
213751,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
295306,NO_LABEL,NO_LABEL,School Reported,School,NO_LABEL,Non-Position,NO_LABEL,NO_LABEL,PreK-12 Operating
355133,Other Non-Compensation,Instruction,School Reported,School,Special Education,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating
330193,Food Services,O&M,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
266039,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating
16985,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Non-Position,Other Non-Compensation,NO_LABEL,PreK-12 Operating
278875,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
354814,Food Services,O&M,Shared Services,School,Unspecified,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating
373580,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
226927,Other Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
356357,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
59230,Teacher Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
132395,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Social Worker,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
157448,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
82327,Instructional Materials & Supplies,Instruction,School Reported,School,Special Education,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
311826,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
124716,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating
247671,Social & Emotional,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
1446,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating
420299,Professional Development,ISPD,Shared Services,Non-School,Special Education,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
36934,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Benefits,NO_LABEL,PreK-12 Operating
370863,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
305517,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
338632,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
234322,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
243377,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
422202,Food Services,O&M,Shared Services,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
97190,Aides Compensation,Instruction,School Reported,School,ELL,TA,Benefits,PreK,PreK-12 Operating
343533,Curriculum Development,ISPD,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
4383,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
126710,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
425403,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
78414,Extended Time & Tutoring,Instruction,Shared Services,Non-School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
244576,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
421645,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
110888,Instructional Materials & Supplies,Instruction,School Reported,School,Special Education,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
214353,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Benefits,NO_LABEL,PreK-12 Operating
171162,Parent & Community Relations,Pupil Services & Enrichment,Leadership & Management,Non-School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
13331,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
271231,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
290041,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
322070,Communications,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
35977,Substitute Compensation,Instruction,School Reported,School,Poverty,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating
141613,NO_LABEL,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating
291012,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
314694,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Benefits,NO_LABEL,PreK-12 Operating
25905,Data Processing & Information Services,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
350678,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
22274,Instructional Materials & Supplies,Instruction,School Reported,School,Special Education,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
82427,Substitute Compensation,Instruction,School Reported,School,Unspecified,Teacher,Substitute Compensation,NO_LABEL,PreK-12 Operating
221546,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
176597,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
219516,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
55228,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,PreK,PreK-12 Operating
242432,Special Population Program Management & Support,ISPD,Shared Services,Non-School,Special Education,Psychologist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
195066,Food Services,O&M,Shared Services,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
327371,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
408019,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,(Exec) Director,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
209818,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
99840,Food Services,O&M,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
154058,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
435592,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
191902,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
310140,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
198956,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating
98222,Research & Accountability,Leadership,Leadership & Management,Non-School,Poverty,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
293318,Substitute Compensation,Instruction,School Reported,School,Alternative,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating
103949,Curriculum Development,ISPD,Leadership & Management,Non-School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating
98115,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
447134,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Travel & Conferences,Non PreK,PreK-12 Operating
234566,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
38495,Food Services,O&M,Shared Services,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
77420,School Administration,Leadership,School Reported,School,Unspecified,Non-Position,Other Compensation/Stipend,Non PreK,PreK-12 Operating
23133,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Base Salary/Compensation,PreK,PreK-12 Operating
100255,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
381219,Aides Compensation,Instruction,School on Central Budgets,Non-School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
184879,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
64502,Special Population Program Management & Support,ISPD,Shared Services,Non-School,Special Education,Psychologist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
70141,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Benefits,NO_LABEL,PreK-12 Operating
360477,Research & Accountability,Leadership,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
215022,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
118543,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Benefits,NO_LABEL,PreK-12 Operating
352572,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12"
18378,Teacher Compensation,Instruction,School Reported,School,Poverty,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
410010,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
37080,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
106707,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
91199,Substitute Compensation,Instruction,Shared Services,Non-School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating
394140,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
400865,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
202031,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
22089,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
171902,Security & Safety,O&M,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
221962,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating
131505,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
105379,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
72041,Substitute Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Substitute Compensation,NO_LABEL,PreK-12 Operating
369646,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
241620,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,PreK,PreK-12 Operating
375733,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
224022,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
313976,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
143931,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating
266680,School Administration,Leadership,School Reported,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
115303,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
381322,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Base Salary/Compensation,Non PreK,PreK-12 Operating
340676,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
77886,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
421686,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
206382,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating
279567,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
429394,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
365676,School Administration,Leadership,Shared Services,Non-School,Poverty,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
37594,Substitute Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Substitute Compensation,NO_LABEL,PreK-12 Operating
276318,School Administration,Leadership,School Reported,School,Unspecified,Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
312862,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Benefits,NO_LABEL,PreK-12 Operating
155779,Professional Development,ISPD,School Reported,School,Unspecified,Instructional Coach,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
4282,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
149806,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
285415,Facilities & Maintenance,O&M,Leadership & Management,Non-School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
378795,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
110712,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
419203,Instructional Materials & Supplies,Instruction,School Reported,School,Special Education,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
233859,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
295382,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
132860,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
439062,Professional Development,ISPD,Leadership & Management,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating
357497,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Special Education,Speech Therapist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
54246,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
335298,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
22230,School Administration,NO_LABEL,School Reported,School,NO_LABEL,Sec/Clerk/Other Admin,NO_LABEL,NO_LABEL,PreK-12 Operating
351894,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
340682,Food Services,O&M,Shared Services,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
230411,Social & Emotional,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
64892,Curriculum Development,ISPD,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
190316,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating
249857,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
66405,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
363384,School Supervision,Leadership,School on Central Budgets,Non-School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
53350,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
160737,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
310773,School Administration,Leadership,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
385598,Aides Compensation,Instruction,School Reported,School,Poverty,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
438672,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
95167,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
267153,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
416736,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
5165,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
363754,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
87700,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
46832,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
250088,Food Services,O&M,Shared Services,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
437438,Aides Compensation,Instruction,School on Central Budgets,Non-School,Special Education,TA,Base Salary/Compensation,Non PreK,PreK-12 Operating
38113,Food Services,O&M,Shared Services,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
421042,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
126906,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
371675,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
281459,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
428549,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,PreK,PreK-12 Operating
243388,School Administration,Leadership,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
46518,Professional Development,ISPD,Leadership & Management,Non-School,Poverty,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating
259254,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
118739,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
89067,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,PreK,PreK-12 Operating
64389,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
240398,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
366305,Instructional Materials & Supplies,Instruction,School Reported,School,Special Education,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
178911,School Administration,Leadership,School Reported,School,Unspecified,Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
75080,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating
3386,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
13083,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating
25299,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
299270,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Coordinator/Manager,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
128397,Aides Compensation,Instruction,School Reported,School,PreK,TA,Benefits,PreK,PreK-12 Operating
265915,Data Processing & Information Services,Business Services,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
254196,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
49843,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating
312418,Substitute Compensation,Instruction,School Reported,School,Special Education,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating
365988,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Psychologist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
374144,Professional Development,ISPD,Shared Services,Non-School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating
35325,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
65619,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
159497,Special Population Program Management & Support,ISPD,School Reported,School,Special Education,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating
122228,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
42299,Enrichment,Pupil Services & Enrichment,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
300308,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
103309,Communications,Leadership,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
